rtid,tid,from,to
1001302584454516736,1001180489171038208,920598670701219840,1368737382
1001303152099028993,1001299991535599616,703929261690728449,761489558
1001303261758947329,1001299991535599616,709407231431696385,761489558
1001303299679838208,1001274651664928768,848551572611231746,50279201
1001303416851714048,1001301531822510081,955710041524338688,104866331
1001303467258929152,1001281193478766592,886290359835340800,254937160
1001303495260057601,1000997624948944896,4411816934,1153045459
1001303510418243584,1001298978070151169,703475329701060608,134758540
1001303558694686723,1001292216961155072,3187589600,936695288
1001303647538503682,1001270512482316289,85110125,39462584
1001303649467949056,1001292216961155072,19060222,936695288
1001303666677121024,1001180489171038208,922524784814100481,1368737382
1001303984085315584,1001299991535599616,4905213643,761489558
1001303996198342656,1001280745497804800,886290359835340800,254937160
1001304240663552001,1001292216961155072,71748259,936695288
1001304440802983936,1001281193478766592,445547940,254937160
1001304540564541441,1001180489171038208,916717383078703104,1368737382
1001304712723939329,1001180489171038208,1342002649,1368737382
1001304745561145344,1001274651664928768,1495260666,50279201
1001304885755895808,1001294221066756096,81793235,332188446
1001305086419701760,1001274651664928768,48552532,50279201
1001305284852133888,1000954788652224512,2455457210,141208596
1001305315730706438,1001180489171038208,4394874855,1368737382
1001305328275701760,1001180489171038208,798603613991936000,1368737382
1001305335670321152,1001274651664928768,998618945216102400,50279201
1001305623538085888,1001180489171038208,875615236232888325,1368737382
1001305627052859392,1000997624948944896,1522701698,1153045459
1001305639820263424,1001180489171038208,905492759322140672,1368737382
1001305654760390657,1001280745497804800,445547940,254937160
1001305701149499392,1001298978070151169,321406000,134758540
1001305783139631105,1001281063568654336,445547940,254937160
1001305807860842497,1001292216961155072,1495260666,936695288
1001305811493142530,1001280627163910145,445547940,254937160
1001305824591949825,1001280433017962496,445547940,254937160
1001305908612247554,1001299991535599616,942328638183051264,761489558
1001305975926673410,1001181838453411840,2360199555,2851445178
1001306021812301825,1001292216961155072,890844102392029184,936695288
1001306150019612672,1001274651664928768,308001764,50279201
1001306366630285313,1001294221066756096,80787441,332188446
1001306408644571136,1001180489171038208,2466176816,1368737382
1001306454995881989,1001180489171038208,762341464076644353,1368737382
1001306613112688640,1001180489171038208,374364001,1368737382
1001306831141027840,1001180489171038208,312097420,1368737382
1001306974930157571,1001180489171038208,326520921,1368737382
1001307073945075713,1001294221066756096,722274875910549504,332188446
1001307199791091712,999254671515516928,953856261103243264,202552918
1001307223052599296,1001281193478766592,2375135436,254937160
1001307254346334209,1001280627163910145,2375135436,254937160
1001307354804072448,1001280745497804800,2375135436,254937160
1001307509674590208,1001180489171038208,3243867192,1368737382
1001307618395205632,1001180489171038208,2459528864,1368737382
1001307677220208640,1001180489171038208,3013396333,1368737382
1001307700318253056,1001274651664928768,98122680,50279201
1001307805368963072,1000997624948944896,1886530483,1153045459
1001307823202947072,1001294221066756096,47379666,332188446
1001308287994744832,1001274651664928768,78779858,50279201
1001308308089651200,1001180489171038208,85808309,1368737382
1001308329807790080,1001180489171038208,283093391,1368737382
1001308426717233152,1001180489171038208,81985430,1368737382
1001308470262489088,1001308420497117189,3930687612,141208596
1001308592035717120,1001308420497117189,571380014,141208596
1001308867651751936,1001292216961155072,878634793306431488,936695288
1001308885326512129,1001292216961155072,2956435219,936695288
1001308966863831040,1001308420497117189,2925740851,141208596
1001308996941344768,1001180489171038208,2511624290,1368737382
1001309037273600000,1001140552480403457,899648423334301698,296612629
1001309046857613317,1001308420497117189,2925434551,141208596
1001309058635153408,1001308420497117189,3166431543,141208596
1001309092248506374,1001308420497117189,190608784,141208596
1001309152478609408,1001294221066756096,3818589192,332188446
1001309272511139840,1001308420497117189,940180103631323138,141208596
1001309310725578757,1001138684748533761,20313869,21853673
1001309321102176256,1001108949167325184,3141465007,141208596
1001309364727103488,1001308420497117189,2190865543,141208596
1001309517051826176,1001307987116408832,3358032613,111922976
1001309522684604416,1001126986465587200,2362356853,285101065
1001309644592070656,1001292216961155072,851431732586979328,936695288
1001309990638960640,1001309683695566848,72084823,310980375
1001310063716220934,1001180489171038208,787205876750745600,1368737382
1001310089318420480,1001308420497117189,875615236232888325,141208596
1001310265428733952,1001310207379681287,3930687612,141208596
1001310334244696064,1001310207379681287,114176678,141208596
1001310344197816320,1001310207379681287,117443154,141208596
1001310368080183296,1001310207379681287,387069574,141208596
1001310383137738753,1001310207379681287,2925434551,141208596
1001310389961986053,1001310207379681287,135486660,141208596
1001310407452061696,1001281193478766592,737936502626258944,254937160
1001310427349897216,1000997624948944896,3179443116,1153045459
1001310491292024832,1001310337801637899,480447720,141208596
1001310541946671105,1001310207379681287,243062982,141208596
1001310546384375810,1001308420497117189,2495805312,141208596
1001310606253637632,1001310207379681287,1001125293875064832,141208596
1001310617150476289,1001310337801637899,4367214918,141208596
1001310622963847168,1001310207379681287,339573735,141208596
1001310633365680128,1001310207379681287,309116195,141208596
1001310644845490176,1001310207379681287,815421568016904193,141208596
1001310669558317056,1001310337801637899,2807065872,141208596
1001310714248749056,1001310207379681287,1059271014,141208596
1001310714252939264,1001310207379681287,886885772,141208596
1001310714332663808,1001310337801637899,1059271014,141208596
1001310714391420928,1001310337801637899,886885772,141208596
1001310728739946496,1001308420497117189,2744270856,141208596
1001310743373856768,1001180489171038208,703633322564411392,1368737382
1001310745546534912,1001310207379681287,252401774,141208596
1001310791889371137,1001308420497117189,815421568016904193,141208596
1001310922604883968,1000997624948944896,2670099570,1153045459
1001310949440028672,1001180489171038208,59401215,1368737382
1001310965038698497,1001310337801637899,815421568016904193,141208596
1001311027806420992,1001308420497117189,1593275546,141208596
1001311084307996672,1001310785866362884,72034591,102058620
1001311109322715136,1001310207379681287,886591217399730177,141208596
1001311153971068929,1001310207379681287,141525450,141208596
1001311163681067009,1001310207379681287,875615236232888325,141208596
1001311183905918976,1001310337801637899,875615236232888325,141208596
1001311234241642497,1001294221066756096,1001081982812655617,332188446
1001311521757052929,1001310207379681287,710042607389290497,141208596
1001311548952920064,1001310207379681287,88671709,141208596
1001311570553589762,1001280745497804800,737936502626258944,254937160
1001311604103786496,1001308420497117189,844476955667955713,141208596
1001311617949122560,1001281063568654336,737936502626258944,254937160
1001311645056974848,1001292216961155072,2752298298,936695288
1001311659770630144,1001180489171038208,612660227,1368737382
1001311694721708032,1001280627163910145,737936502626258944,254937160
1001311717245140992,1001292216961155072,941521562913587201,936695288
1001311744130732033,1001180489171038208,3267406975,1368737382
1001311779618619392,1001180489171038208,780452817001734145,1368737382
1001311879266951168,1001280433017962496,737936502626258944,254937160
1001311973395648519,1001311344757387264,3674263103,69914008
1001311979728875520,1001310337801637899,3930687612,141208596
1001311984531324928,1001310207379681287,938335701606662150,141208596
1001311998863278080,1001294221066756096,2752298298,332188446
1001312022254960640,1001274651664928768,358109775,50279201
1001312035408400386,1001308420497117189,998581332384022528,141208596
1001312042970644481,1001294221066756096,414145983,332188446
1001312057059405824,1001311344757387264,575637522,69914008
1001312082619387904,1001310785866362884,936201299917340672,102058620
1001312130036092929,1001310207379681287,998581332384022528,141208596
1001312135664799744,1001274651664928768,886842046069194753,50279201
1001312146125459457,1001310337801637899,998581332384022528,141208596
1001312298521120768,1000997624948944896,91088043,1153045459
1001312424602030082,1001180489171038208,3037693807,1368737382
1001312549990678528,1001310207379681287,988437782975496192,141208596
1001312556533694464,1001274651664928768,74804946,50279201
1001312735878156288,1001126986465587200,102944946,285101065
1001312821634678784,1001310785866362884,1571956418,102058620
1001312932674916354,1001310785866362884,106379353,102058620
1001312946423656450,1001310785866362884,807862568316334080,102058620
1001312985011310592,1000997624948944896,1021419481,1153045459
1001313010239979520,1001310337801637899,926287905445650432,141208596
1001313143530840065,1001310207379681287,1851908426,141208596
1001313344848982016,1001127342134120449,2436514921,18205527
1001313429041266688,1001180489171038208,794828778824470528,1368737382
1001313675796332545,1001274651664928768,864908529320251392,50279201
1001313758420000768,1001310785866362884,18680600,102058620
1001313814862680064,1001180489171038208,4045946959,1368737382
1001313943879499776,1001274651664928768,3226146738,50279201
1001313948375928832,1001180489171038208,102944946,1368737382
1001314077556142081,1001294221066756096,1742537772,332188446
1001314112800882688,1001310207379681287,926287905445650432,141208596
1001314172603437057,1001281193478766592,885684571429142528,254937160
1001314296255545344,1001310207379681287,2786273696,141208596
1001314301343232000,1001162561620881408,138651265,85550416
1001314368326254592,1001162398194020352,138651265,85550416
1001314384256294912,1001162347711377408,138651265,85550416
1001314400102371328,1001162313288761344,138651265,85550416
1001314404728635393,1001308420497117189,4727905398,141208596
1001314436139761665,1001308420497117189,2786273696,141208596
1001314502393155584,1001281063568654336,885684571429142528,254937160
1001314547213524993,1001280627163910145,885684571429142528,254937160
1001314549260156928,1001274651664928768,859986944108965889,50279201
1001314571691352064,1001308420497117189,740335040,141208596
1001314625202282496,1001180489171038208,765798585053118464,1368737382
1001314697558212608,1001310207379681287,860071165792059392,141208596
1001314754475053056,1001180489171038208,4498429092,1368737382
1001314816923914240,1001274651664928768,3255161238,50279201
1001314901548326912,1001168924552192000,206637018,885356264
1001314915292921857,1001126986465587200,138651265,285101065
1001315052404736000,1001274651664928768,29184298,50279201
1001315249843138560,1001180489171038208,825212494755028992,1368737382
1001315420710699008,1001162398194020352,940180103631323138,85550416
1001315423227277313,1001313005726973953,2765228310,2580847728
1001315457926815744,1001312708896030722,2765228310,2580847728
1001315743537840128,1001180489171038208,761179649367998464,1368737382
1001315779210457089,1001180489171038208,834436216619663363,1368737382
1001315873020358656,1001180489171038208,3071808626,1368737382
1001316125257302016,1001308420497117189,1244322133,141208596
1001316317679435776,1001180489171038208,4551849974,1368737382
1001316324436463616,1001311344757387264,785904386799120384,69914008
1001316645111975936,1001310207379681287,3066400088,141208596
1001316663814324224,1001309959378812928,1606420112,793407655859675136
1001316817963372544,1001308420497117189,3066400088,141208596
1001316931788423168,1001310337801637899,3066400088,141208596
1001316953275809792,1001139826987421696,848827465,296612629
1001316989338464256,1001140552480403457,848827465,296612629
1001316995952926720,1001180489171038208,148400413,1368737382
1001317006199504896,1001140767169986562,848827465,296612629
1001317017146671106,1001310207379681287,994202135880331264,141208596
1001317028135817216,1001141306775687175,848827465,296612629
